City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,namatanai,-3.6667,152.4333,83.84,77,42,5.03,PG,1684218059
84,hilo,19.7297,-155.09,68.25,96,100,6.91,US,1684218059
85,lebu,-37.6167,-73.65,55.29,90,100,7.02,CL,1684218059
86,lasa,46.6166,10.7002,52.68,88,100,8.28,IT,1684218059
87,bangui,4.3612,18.555,76.75,83,14,3.85,CF,1684217906
88,port elizabeth,-33.918,25.5701,58.32,86,0,3.44,ZA,1684218059
89,san policarpo,12.1791,125.5072,85.06,73,36,7.29,PH,1684218059
90,puerto colombia,10.9878,-74.9547,82.49,89,100,8.52,CO,1684218060
91,barrow,71.2906,-156.7887,19.42,73,100,13.8,US,1684218060
92,qandala,11.472,49.8728,89.71,60,20,4.88,SO,1684218060
93,smithers,54.7804,-127.1743,61.12,51,0,2.3,CA,1684218060
94,dangriga,16.9692,-88.2321,78.4,76,64,3.65,BZ,1684218060
95,japura,-0.3167,102.35,89.17,67,86,2.59,ID,1684218060
96,bongor,10.2806,15.3722,87.6,45,92,11.03,TD,1684218060
97,kandrian,-6.2167,149.55,79.12,90,100,11.95,PG,1684218060
98,soe,-9.8607,124.284,78.6,53,10,5.28,ID,1684218060
99,jambi,-1.6,103.6167,89.38,59,93,3.42,ID,1684218060
100,hope,33.6671,-93.5916,75.25,90,98,4.32,US,1684218061
101,ribeira grande,38.5167,-28.7,64.8,94,75,6.91,PT,1684218061
102,edson,53.5835,-116.4356,57.34,62,0,9.22,CA,1684218061
103,manggar,-2.8833,108.2667,85.15,67,21,10.16,ID,1684217999
104,atambua,-9.1061,124.8925,80.58,63,22,2.84,ID,1684218061
105,bethel,41.3712,-73.414,61.63,52,0,10.36,US,1684218061
106,sweetwater,25.7634,-80.3731,78.01,89,20,3.44,US,1684218061
107,nyurba,63.2842,118.3319,52.09,37,89,3.58,RU,1684218061
108,sitka,57.0531,-135.33,55.29,67,0,0.0,US,1684218061
109,nanortalik,60.1432,-45.2371,34.79,80,100,8.81,GL,1684218061
110,svinninge,55.7211,11.4655,51.89,89,100,15.21,DK,1684218062
111,busselton,-33.65,115.3333,67.8,48,0,2.75,AU,1684218062
112,nelson bay,-32.7167,152.15,68.05,80,63,8.01,AU,1684218062
113,homer,59.6425,-151.5483,48.79,65,100,8.05,US,1684218062
114,ankang,32.68,109.0172,87.53,38,100,2.19,CN,1684217908
115,bandarbeyla,9.4942,50.8122,87.94,62,76,18.88,SO,1684218062
116,genhe,50.7833,121.5167,57.58,22,97,12.12,CN,1684218062
117,ocos,14.5094,-92.1933,84.15,73,48,4.94,GT,1684218062
118,lewistown,40.5992,-77.5714,54.34,71,0,0.0,US,1684218062
119,conway,35.0887,-92.4421,75.0,59,75,4.61,US,1684218062
120,grindavik,63.8424,-22.4338,37.87,81,75,14.97,IS,1684218062
121,charleston,32.7766,-79.9309,71.02,88,75,3.44,US,1684218063
122,tiksi,71.6872,128.8694,30.4,95,52,10.76,RU,1684218063
123,pastos bons,-6.6017,-44.0767,73.53,96,100,1.3,BR,1684218063
124,yagodnoye,62.55,149.6667,41.63,80,95,4.38,RU,1684218063
125,puerto lopez,4.0845,-72.956,73.6,95,100,0.69,CO,1684218063
126,carnarvon,-24.8667,113.6333,75.78,36,0,9.44,AU,1684218063
127,lingyuan,41.24,119.4011,92.28,22,100,24.05,CN,1684218063
128,chokurdakh,70.6333,147.9167,33.75,90,81,9.06,RU,1684218033
129,hirara,24.8,125.2833,82.26,69,40,16.11,JP,1684218063
130,henties bay,-22.116,14.2845,59.16,84,73,3.15,NA,1684218063
131,faanui,-16.4833,-151.75,81.18,73,27,4.21,PF,1684218064
132,mnogovershinnyy,53.9353,139.9242,55.67,41,82,8.61,RU,1684218064
133,bairiki,1.3292,172.9752,84.2,79,40,9.22,KI,1684218064
134,kiunga,-6.1219,141.2906,86.72,66,90,1.1,PG,1684218064
135,le port,-20.9373,55.2919,84.16,80,0,10.27,RE,1684218064
136,dunmore,41.4198,-75.6324,54.84,70,0,1.99,US,1684218064
137,kaduna,10.5222,7.4383,76.21,68,100,9.31,NG,1684218064
138,nikki,9.9401,3.2108,75.4,86,38,6.98,BJ,1684218064
139,lata,40.1629,-8.3327,59.81,66,100,4.72,PT,1684218064
140,dunedin,-45.8742,170.5036,51.8,81,7,8.37,NZ,1684218064
141,saint-augustin,51.226,-58.6502,40.06,85,100,9.46,CA,1684218064
142,sinnamary,5.3833,-52.95,77.49,92,98,6.82,GF,1684218065
143,hofn,64.2539,-15.2082,33.93,60,72,4.7,IS,1684218065
144,saint-philippe,-21.3585,55.7679,81.99,74,9,9.62,RE,1684218065
145,nador,35.174,-2.9287,71.85,33,0,1.14,MA,1684218065
146,nuuk,64.1835,-51.7216,39.81,81,100,5.75,GL,1684218002
147,gizo,-8.103,156.8419,84.69,71,82,3.8,SB,1684218065
148,bataipora,-22.2953,-53.2711,57.45,92,0,2.35,BR,1684218065
149,camacha,33.0833,-16.3333,62.02,72,75,14.97,PT,1684218065
150,torbay,47.6666,-52.7314,44.58,80,100,14.97,CA,1684218065
151,praia,14.9215,-23.5087,72.14,78,40,12.66,CV,1684218065
152,necochea,-38.5473,-58.7368,54.68,80,21,12.15,AR,1684217845
153,saint george,37.1041,-113.5841,81.19,32,0,6.91,US,1684218066
154,nioro,13.35,-15.75,74.89,57,96,3.6,GM,1684218066
155,lakatoro,-16.0999,167.4164,80.85,75,97,11.7,VU,1684218066
156,arraial do cabo,-22.9661,-42.0278,69.66,83,0,13.8,BR,1684217970
157,georgetown,5.4112,100.3354,93.15,66,20,9.22,MY,1684218066
158,lagoa,39.05,-27.9833,62.51,90,61,11.92,PT,1684218066
159,zaza del medio,21.9961,-79.3669,73.62,91,48,2.13,CU,1684218066
160,bitkine,11.9801,18.2138,94.19,30,97,7.49,TD,1684218066
161,kieta,-6.2167,155.6333,82.94,81,85,1.25,PG,1684218066
162,puerto quijarro,-17.7833,-57.7667,63.01,70,0,1.5,BO,1684218066
163,yichang,30.7144,111.2847,74.46,65,99,1.79,CN,1684217875
164,lubben,51.95,13.9,53.26,94,65,9.37,DE,1684218066
165,staryy nadym,65.6118,72.6842,31.24,91,99,23.13,RU,1684218067
166,kormilovka,55.0026,74.1028,62.58,38,70,15.23,RU,1684218067
167,wageningen,51.9667,5.6667,51.08,85,75,3.44,NL,1684218067
168,santa maria,-29.6842,-53.8069,56.44,91,0,2.44,BR,1684218067
169,yellowknife,62.456,-114.3525,48.72,93,100,15.01,CA,1684218067
170,san quintin,30.4833,-115.95,58.71,89,3,9.28,MX,1684218067
171,hirado,33.3597,129.5531,68.13,83,0,12.44,JP,1684218067
172,avarua,-21.2078,-159.775,75.25,78,75,3.44,CK,1684218067
173,norman wells,65.282,-126.8329,59.04,38,20,4.61,CA,1684218067
174,keokuk,40.3973,-91.3849,64.09,82,100,3.44,US,1684218068
175,khatanga,71.9667,102.5,22.93,83,93,7.76,RU,1684218068
176,bujaru,-1.515,-48.0447,73.89,100,80,2.3,BR,1684218068
177,college,64.8569,-147.8028,55.38,43,75,10.36,US,1684218068
178,garowe,8.4054,48.4845,86.13,48,46,20.85,SO,1684218068
179,upernavik,72.7868,-56.1549,10.69,96,35,6.31,GL,1684218068
180,hithadhoo,-0.6,73.0833,82.98,80,84,17.85,MV,1684218068
181,cayenne,4.9333,-52.3333,75.24,100,75,0.0,GF,1684218068
182,mahon,39.8885,4.2658,63.16,63,20,6.91,ES,1684217780
183,rafaela,-31.2503,-61.4867,60.98,55,2,3.0,AR,1684218068
184,de-kastri,51.4667,140.7833,47.52,76,55,11.43,RU,1684218068
185,the valley,18.217,-63.0578,80.1,77,85,13.96,AI,1684218068
186,maarianhamina,60.0973,19.9348,57.06,72,100,6.91,AX,1684218069
187,saint anthony,45.0205,-93.218,61.25,70,0,6.91,US,1684218069
188,leningradskiy,69.3833,178.4167,23.99,78,13,1.68,RU,1684218069
189,winnemucca,40.973,-117.7357,51.85,54,0,5.75,US,1684218069
190,morondava,-20.2833,44.2833,74.97,73,3,5.26,MG,1684218069
191,lichuan,30.3,108.85,63.14,80,99,2.89,CN,1684218069
192,husavik,66.0449,-17.3389,30.2,66,52,9.4,IS,1684218069
193,bourail,-21.5667,165.4833,74.66,69,99,4.21,NC,1684218069
194,vanimo,-2.6741,141.3028,85.1,77,98,11.99,PG,1684218069
195,byron bay,-28.65,153.6167,60.71,87,99,15.32,AU,1684217902
196,puerto ayora,-0.7393,-90.3518,77.56,89,100,7.0,EC,1684218069
197,krasnoselkup,65.7,82.4667,32.52,98,100,8.77,RU,1684218069
198,kahului,20.8947,-156.47,73.42,75,75,9.22,US,1684217967
199,hiriyur,13.9456,76.6192,93.16,31,97,8.41,IN,1684218070
200,srivardhan,18.0333,73.0167,90.19,56,70,8.77,IN,1684218070
201,erenhot,43.6475,111.9767,66.13,17,22,16.15,CN,1684218070
202,oranjemund,-28.55,16.4333,60.13,55,0,6.22,NA,1684218070
203,sistranda,63.7256,8.834,44.56,78,100,12.48,NO,1684218070
204,port blair,11.6667,92.75,89.64,62,40,10.36,IN,1684218070
205,inhambane,-23.865,35.3833,72.77,76,67,9.69,MZ,1684218070
206,puerto ayacucho,5.6639,-67.6236,75.56,94,99,3.22,VE,1684218070
207,flinders,-34.5833,150.8552,70.18,50,0,4.0,AU,1684218070
208,kashi,39.4547,75.9797,87.01,9,0,13.42,CN,1684218070
209,alta floresta,-9.8756,-56.0861,69.53,85,99,3.83,BR,1684218070
210,sao jose da coroa grande,-8.8978,-35.1478,77.2,84,47,2.66,BR,1684218071
211,clyde river,70.4692,-68.5914,21.43,86,100,21.85,CA,1684218071
212,loncoche,-39.3667,-72.6333,53.89,99,100,1.28,CL,1684218071
213,nemuro,43.3236,145.575,44.08,94,100,10.07,JP,1684217790
214,lae,-6.7221,146.9847,81.27,90,100,2.24,PG,1684218071
215,logstor,56.9624,9.2583,50.83,86,100,8.32,DK,1684218071
216,alice springs,-23.7,133.8833,71.15,33,40,14.97,AU,1684217996
217,khorramshahr,30.4397,48.1664,89.56,22,0,2.3,IR,1684217784
218,urumqi,43.801,87.6005,63.55,48,79,6.71,CN,1684218071
219,mahebourg,-20.4081,57.7,82.69,69,20,14.97,MU,1684218071
220,dingle,10.9995,122.6711,90.07,61,52,8.66,PH,1684218071
221,ancud,-41.8697,-73.8203,50.45,79,59,10.02,CL,1684217922
222,sept-iles,50.2001,-66.3821,42.8,62,20,5.75,CA,1684218072
223,chernaya kholunitsa,58.8511,51.7154,65.08,40,37,2.59,RU,1684218072
224,cross lanes,38.4204,-81.7907,63.52,97,100,0.0,US,1684218072
225,chuy,-33.6971,-53.4616,55.02,85,14,1.52,UY,1684218072
226,mosquera,4.7059,-74.2302,51.89,100,75,2.3,CO,1684217889
227,luganville,-15.5333,167.1667,80.06,80,92,11.95,VU,1684218072
228,mitsamiouli,-11.3847,43.2844,81.63,71,25,4.34,KM,1684218072
229,ust-kan,50.9276,84.761,52.3,45,60,4.83,RU,1684218072
230,ponta do sol,32.6667,-17.1,68.0,73,64,4.16,PT,1684218015
